證券代碼	年月日	當日均價(元)	當日成交量
0050 元大台灣50	20191106	93.0302	4494.32
006208 富邦台50	20191106	52.7341	1142.98
006208 富邦台50	20191107	52.5288	1062.31
0050 元大台灣50	20191107	92.7268	3050.12
0050 元大台灣50	20191108	92.6433	2890.54
006208 富邦台50	20191108	52.522	886.632
0050 元大台灣50	20191111	91.4497	5859.34
006208 富邦台50	20191111	51.8704	1071.61
0050 元大台灣50	20191112	91.7223	2426.3
006208 富邦台50	20191112	51.9604	772.834
0050 元大台灣50	20191113	91.3975	1935.55
006208 富邦台50	20191113	51.862	777.38
0050 元大台灣50	20191114	91.5003	2174.28
006208 富邦台50	20191114	51.876	686.686
006208 富邦台50	20191115	52.2268	749.364
0050 元大台灣50	20191115	92.2544	2510.88
0050 元大台灣50	20191118	92.6187	2087.61
006208 富邦台50	20191118	52.5108	1029.26
0050 元大台灣50	20191119	93.3256	2821.62
006208 富邦台50	20191119	52.8925	1031.7
006208 富邦台50	20191120	51.8272	1350.16
0050 元大台灣50	20191120	93.2582	7954.62
0050 元大台灣50	20191121	92.1941	3283.84
006208 富邦台50	20191121	51.2717	1267.06
0050 元大台灣50	20191122	92.5599	1506.54
006208 富邦台50	20191122	51.3425	829.961
0050 元大台灣50	20191125	92.8578	2520.69
006208 富邦台50	20191125	51.4441	758.822
0050 元大台灣50	20191126	92.9581	3827.48
006208 富邦台50	20191126	51.5778	962.802
006208 富邦台50	20191127	51.5005	711.557
0050 元大台灣50	20191127	92.9592	1957.68
0050 元大台灣50	20191128	92.9354	1352.72
006208 富邦台50	20191128	51.5598	637.662
006208 富邦台50	20191129	51.0055	982.297
0050 元大台灣50	20191129	91.8432	5344.21
0050 元大台灣50	20191202	91.9529	2068.34
006208 富邦台50	20191202	50.9542	342.372
0050 元大台灣50	20191203	92.0067	1410.79
006208 富邦台50	20191203	50.9881	898.662
0050 元大台灣50	20191204	91.6727	2310.51
006208 富邦台50	20191204	50.8285	724.964
0050 元大台灣50	20191205	92.774	3441.05
006208 富邦台50	20191205	51.4744	560.592
0050 元大台灣50	20191206	93.2005	3394.43
006208 富邦台50	20191206	51.6958	1136.33
0050 元大台灣50	20191209	93.5878	2912.19
006208 富邦台50	20191209	51.8404	630.668
006208 富邦台50	20191210	51.6302	346.02
0050 元大台灣50	20191210	93.0779	5465.43
